Customer ID,Customer Name,Segment,Age,Country,City,State,Postal Code,Region
NZ-18565,Nick Zandusky,Home Office,23,United States,Columbus,Ohio,43229,East
AS-10225,Alan Schoenberger,Corporate,31,United States,New York City,New York,10024,East
CR-12625,Corey Roper,Home Office,46,United States,Lakewood,New Jersey,8701,East
TS-21205,Thomas Seio,Corporate,21,United States,Hackensack,New Jersey,7601,East
SP-20860,Sung Pak,Corporate,38,United States,Philadelphia,Pennsylvania,19143,East
NM-18445,Nathan Mautz,Home Office,21,United States,New York City,New York,10024,East
PO-18850,Patrick O'Brill,Consumer,59,United States,Philadelphia,Pennsylvania,19143,East
JL-15850,John Lucas,Consumer,70,United States,Philadelphia,Pennsylvania,19134,East
TD-20995,Tamara Dahlen,Consumer,19,United States,Lowell,Massachusetts,1852,East
AB-10060,Adam Bellavance,Home Office,25,United States,New York City,New York,10009,East
JL-15505,Jeremy Lonsdale,Consumer,48,United States,New York City,New York,10035,East
KW-16435,Katrina Willman,Consumer,48,United States,New York City,New York,10009,East
MK-17905,Michael Kennedy,Corporate,20,United States,Manchester,Connecticut,6040,East
AR-10405,Allen Rosenblatt,Corporate,66,United States,Franklin,Massachusetts,2038,East
DK-13225,Dean Katz,Corporate,36,United States,Philadelphia,Pennsylvania,19140,East
NG-18430,Nathan Gelder,Consumer,50,United States,Cincinnati,Ohio,45231,East
MV-18190,Mike Vittorini,Consumer,66,United States,New York City,New York,10009,East
SS-20140,Saphhira Shifley,Corporate,33,United States,Warwick,Rhode Island,2886,East
RF-19840,Roy Franzosisch,Consumer,57,United States,New York City,New York,10024,East
MP-17965,Michael Paige,Corporate,18,United States,Lawrence,Massachusetts,1841,East
SD-20485,Shirley Daniels,Home Office,70,United States,New Rochelle,New York,10801,East
RB-19360,Raymond Buch,Consumer,70,United States,Auburn,New York,13021,East
EB-13705,Ed Braxton,Corporate,41,United States,Akron,Ohio,44312,East
MH-17785,Maya Herman,Corporate,51,United States,Lindenhurst,New York,11757,East
JE-15475,Jeremy Ellison,Consumer,30,United States,Troy,New York,12180,East
JG-15805,John Grady,Corporate,26,United States,New York City,New York,10024,East
EM-14065,Erin Mull,Consumer,48,United States,New York City,New York,10024,East
AJ-10960,Astrea Jones,Consumer,30,United States,Rochester,New York,14609,East
BD-11605,Brian Dahlen,Consumer,40,United States,Lawrence,Massachusetts,1841,East
MG-18145,Mike Gockenbach,Consumer,51,United States,Philadelphia,Pennsylvania,19134,East
LM-17065,Liz MacKendrick,Consumer,32,United States,Springfield,Ohio,45503,East
AS-10135,Adrian Shami,Home Office,65,United States,New York City,New York,10035,East
JF-15415,Jennifer Ferguson,Consumer,40,United States,New York City,New York,10024,East
TP-21130,Theone Pippenger,Consumer,64,United States,Philadelphia,Pennsylvania,19134,East
CK-12205,Chloris Kastensmidt,Consumer,61,United States,Philadelphia,Pennsylvania,19120,East
AR-10510,Andrew Roberts,Consumer,58,United States,Philadelphia,Pennsylvania,19134,East
GD-14590,Giulietta Dortch,Corporate,62,United States,Philadelphia,Pennsylvania,19143,East
CK-12595,Clytie Kelty,Consumer,60,United States,Grove City,Ohio,43123,East
NG-18355,Nat Gilpin,Corporate,57,United States,New York City,New York,10011,East
MO-17800,Meg O'Connel,Home Office,22,United States,New York City,New York,10009,East
SR-20740,Steven Roelle,Home Office,19,United States,New York City,New York,10024,East
CR-12730,Craig Reiter,Consumer,25,United States,Columbus,Ohio,43229,East
SP-20545,Sibella Parks,Corporate,68,United States,New York City,New York,10011,East
RP-19390,Resi Polking,Consumer,44,United States,Cleveland,Ohio,44105,East
DJ-13630,Doug Jacobs,Consumer,41,United States,New York City,New York,10024,East
RA-19285,Ralph Arnett,Consumer,45,United States,New York City,New York,10035,East
JO-15550,Jesus Ocampo,Home Office,58,United States,Chester,Pennsylvania,19013,East
DP-13165,David Philippe,Consumer,50,United States,New York City,New York,10035,East
TH-21550,Tracy Hopkins,Home Office,48,United States,New York City,New York,10035,East
RS-19765,Roland Schwarz,Corporate,45,United States,Mount Vernon,New York,10550,East
SV-20365,Seth Vernon,Consumer,22,United States,Dover,Delaware,19901,East
MR-17545,Mathew Reese,Home Office,37,United States,Philadelphia,Pennsylvania,19140,East
EG-13900,Emily Grady,Consumer,60,United States,Oceanside,New York,11572,East
CP-12340,Christine Phan,Corporate,38,United States,New York City,New York,10009,East
LH-17020,Lisa Hazard,Consumer,60,United States,Columbus,Ohio,43229,East
DL-12865,Dan Lawera,Consumer,26,United States,Cincinnati,Ohio,45231,East
BM-11785,Bryan Mills,Consumer,31,United States,Columbus,Ohio,43229,East
TR-21325,Toby Ritter,Consumer,45,United States,Belleville,New Jersey,7109,East
BM-11650,Brian Moss,Corporate,48,United States,New York City,New York,10035,East
GA-14725,Guy Armstrong,Consumer,32,United States,Lorain,Ohio,44052,East
CK-12760,Cyma Kinney,Corporate,18,United States,Linden,New Jersey,7036,East
BK-11260,Berenike Kampe,Consumer,37,United States,New York City,New York,10035,East
SJ-20125,Sanjit Jacobs,Home Office,38,United States,New Brunswick,New Jersey,8901,East
LS-16945,Linda Southworth,Corporate,21,United States,Philadelphia,Pennsylvania,19140,East
GP-14740,Guy Phonely,Corporate,28,United States,Lancaster,Pennsylvania,17602,East
PK-18910,Paul Knutson,Home Office,42,United States,Philadelphia,Pennsylvania,19143,East
SM-20005,Sally Matthias,Consumer,51,United States,New York City,New York,10009,East
AG-10765,Anthony Garverick,Home Office,40,United States,Philadelphia,Pennsylvania,19120,East
LL-16840,Lauren Leatherbury,Consumer,29,United States,Rochester,New York,14609,East
EL-13735,Ed Ludwig,Home Office,42,United States,Columbia,Maryland,21044,East
GB-14530,George Bell,Corporate,41,United States,Auburn,New York,13021,East
JR-16210,Justin Ritter,Corporate,68,United States,Springfield,Ohio,45503,East
SC-20050,Sample Company A,Home Office,38,United States,Norwich,Connecticut,6360,East
SE-20110,Sanjit Engle,Consumer,28,United States,New York City,New York,10009,East
AH-10075,Adam Hart,Corporate,21,United States,New York City,New York,10011,East
JM-15535,Jessica Myrick,Consumer,36,United States,Philadelphia,Pennsylvania,19143,East
RK-19300,Ralph Kennedy,Consumer,29,United States,Philadelphia,Pennsylvania,19140,East
CG-12040,Catherine Glotzbach,Home Office,27,United States,Philadelphia,Pennsylvania,19120,East
KH-16360,Katherine Hughes,Consumer,69,United States,Philadelphia,Pennsylvania,19143,East
BS-11800,Bryan Spruell,Home Office,53,United States,New York City,New York,10011,East
KM-16225,Kalyca Meade,Corporate,57,United States,New York City,New York,10011,East
DE-13255,Deanra Eno,Home Office,42,United States,Springfield,Ohio,45503,East
AG-10390,Allen Goldenen,Consumer,47,United States,Cincinnati,Ohio,45231,East
MO-17500,Mary O'Rourke,Consumer,25,United States,New York City,New York,10035,East
DG-13300,Deirdre Greer,Corporate,60,United States,Philadelphia,Pennsylvania,19134,East
NF-18595,Nicole Fjeld,Home Office,42,United States,New York City,New York,10009,East
MG-17650,Matthew Grinstein,Home Office,53,United States,Philadelphia,Pennsylvania,19143,East
TS-21160,Theresa Swint,Corporate,27,United States,Toledo,Ohio,43615,East
FO-14305,Frank Olsen,Consumer,22,United States,New York City,New York,10035,East
BT-11485,Brad Thomas,Home Office,66,United States,Clinton,Maryland,20735,East
AP-10720,Anne Pryor,Home Office,18,United States,New York City,New York,10035,East
SW-20755,Steven Ward,Corporate,57,United States,New York City,New York,10009,East
SP-20620,Stefania Perrino,Corporate,32,United States,Philadelphia,Pennsylvania,19134,East
KT-16480,Kean Thornton,Consumer,51,United States,Buffalo,New York,14215,East
BG-11695,Brooke Gillingham,Corporate,46,United States,Cincinnati,Ohio,45231,East
MH-18115,Mick Hernandez,Home Office,25,United States,Chester,Pennsylvania,19013,East
GM-14500,Gene McClure,Consumer,41,United States,Providence,Rhode Island,2908,East
TB-21355,Todd Boyes,Corporate,53,United States,New York City,New York,10009,East
MC-17575,Matt Collins,Consumer,25,United States,Cincinnati,Ohio,45231,East
GZ-14545,George Zrebassa,Corporate,56,United States,Lawrence,Massachusetts,1841,East
CP-12085,Cathy Prescott,Corporate,62,United States,Norwich,Connecticut,6360,East
AB-10255,Alejandro Ballentine,Home Office,34,United States,Lorain,Ohio,44052,East
JR-15670,Jim Radford,Consumer,18,United States,Middletown,Connecticut,6457,East
CM-12115,Chad McGuire,Consumer,50,United States,New York City,New York,10011,East
HM-14860,Harry Marie,Corporate,64,United States,Philadelphia,Pennsylvania,19120,East
MG-17890,Michael Granlund,Home Office,31,United States,Clinton,Maryland,20735,East
HA-14905,Helen Abelman,Consumer,58,United States,New York City,New York,10024,East
ST-20530,Shui Tom,Consumer,26,United States,Parma,Ohio,44134,East
MB-18085,Mick Brown,Consumer,54,United States,Vineland,New Jersey,8360,East
KD-16495,Keith Dawkins,Corporate,68,United States,New York City,New York,10009,East
NP-18685,Nora Pelletier,Home Office,42,United States,Niagara Falls,New York,14304,East
MS-17770,Maxwell Schwartz,Consumer,47,United States,New York City,New York,10035,East
Co-12640,Corey-Lock,Consumer,55,United States,Philadelphia,Pennsylvania,19143,East
TS-21370,Todd Sumrall,Corporate,62,United States,New York City,New York,10035,East
AR-10540,Andy Reiter,Consumer,48,United States,New York City,New York,10024,East
AI-10855,Arianne Irving,Consumer,35,United States,Philadelphia,Pennsylvania,19120,East
JM-15655,Jim Mitchum,Corporate,28,United States,Bridgeton,New Jersey,8302,East
CL-11890,Carl Ludwig,Consumer,63,United States,Everett,Massachusetts,2149,East
AB-10150,Aimee Bixby,Consumer,65,United States,Long Beach,New York,11561,East
JW-16075,Julia West,Consumer,25,United States,Philadelphia,Pennsylvania,19140,East
SG-20470,Sheri Gordon,Consumer,44,United States,New York City,New York,10011,East
CM-12190,Charlotte Melton,Consumer,66,United States,Philadelphia,Pennsylvania,19134,East
TB-21280,Toby Braunhardt,Consumer,24,United States,Washington,District of Columbia,20016,East
HZ-14950,Henia Zydlo,Consumer,32,United States,Columbus,Ohio,43229,East
FM-14215,Filia McAdams,Corporate,62,United States,Dublin,Ohio,43017,East
BT-11680,Brian Thompson,Consumer,70,United States,Newark,Ohio,43055,East
DB-13660,Duane Benoit,Consumer,21,United States,Oceanside,New York,11572,East
EH-13765,Edward Hooks,Corporate,44,United States,Watertown,New York,13601,East
AC-10615,Ann Chong,Corporate,61,United States,New York City,New York,10009,East
CB-12415,Christy Brittain,Consumer,47,United States,Columbus,Ohio,43229,East
RH-19510,Rick Huthwaite,Home Office,67,United States,Providence,Rhode Island,2908,East
MC-17590,Matt Collister,Corporate,36,United States,Perth Amboy,New Jersey,8861,East
CC-12610,Corey Catlett,Corporate,18,United States,Philadelphia,Pennsylvania,19134,East
BF-11080,Bart Folk,Consumer,23,United States,Baltimore,Maryland,21215,East
MM-17260,Magdelene Morse,Consumer,49,United States,Wilmington,Delaware,19805,East
BS-11665,Brian Stugart,Consumer,21,United States,Philadelphia,Pennsylvania,19143,East
RF-19345,Randy Ferguson,Corporate,48,United States,Dover,New Hampshire,3820,East
WB-21850,William Brown,Consumer,38,United States,Philadelphia,Pennsylvania,19134,East
JH-15820,John Huston,Consumer,37,United States,Kent,Ohio,44240,East
ML-17410,Maris LaWare,Consumer,30,United States,Fairfield,Connecticut,6824,East
DK-13375,Dennis Kane,Consumer,56,United States,Marion,Ohio,43302,East
MW-18220,Mitch Webber,Consumer,69,United States,New York City,New York,10035,East
SV-20935,Susan Vittorini,Consumer,53,United States,New York City,New York,10009,East
BM-11575,Brendan Murry,Corporate,22,United States,New York City,New York,10035,East
SG-20605,Speros Goranitis,Consumer,69,United States,New York City,New York,10009,East
AZ-10750,Annie Zypern,Consumer,59,United States,New York City,New York,10009,East
TB-21250,Tim Brockman,Consumer,39,United States,New York City,New York,10024,East
JM-15865,John Murray,Consumer,66,United States,Jamestown,New York,14701,East
NB-18580,Nicole Brennan,Corporate,33,United States,Philadelphia,Pennsylvania,19134,East
EN-13780,Edward Nazzal,Consumer,64,United States,New York City,New York,10035,East
TA-21385,Tom Ashbrook,Home Office,19,United States,New York City,New York,10024,East
SB-20170,Sarah Bern,Consumer,62,United States,New York City,New York,10035,East
RR-19525,Rick Reed,Corporate,51,United States,Lowell,Massachusetts,1852,East
BE-11410,Bobby Elias,Consumer,54,United States,Lancaster,Ohio,43130,East
DR-12940,Daniel Raglin,Home Office,65,United States,Franklin,Massachusetts,2038,East
MA-17995,Michelle Arnett,Home Office,33,United States,Watertown,New York,13601,East
GB-14575,Giulietta Baptist,Consumer,50,United States,Philadelphia,Pennsylvania,19134,East
MG-17875,Michael Grace,Home Office,67,United States,New York City,New York,10011,East
JG-15310,Jason Gross,Corporate,61,United States,Providence,Rhode Island,2908,East
EC-14050,Erin Creighton,Consumer,52,United States,New York City,New York,10024,East
EB-14110,Eugene Barchas,Consumer,44,United States,Philadelphia,Pennsylvania,19134,East
JP-15460,Jennifer Patt,Corporate,69,United States,Oceanside,New York,11572,East
AH-10030,Aaron Hawkins,Corporate,60,United States,Philadelphia,Pennsylvania,19134,East
CC-12475,Cindy Chapman,Consumer,48,United States,New York City,New York,10024,East
BG-11740,Bruce Geld,Consumer,39,United States,Philadelphia,Pennsylvania,19120,East
JO-15145,Jack O'Briant,Corporate,68,United States,Philadelphia,Pennsylvania,19140,East
AH-10690,Anna Haberlin,Corporate,39,United States,New York City,New York,10024,East
RB-19330,Randy Bradley,Consumer,63,United States,Philadelphia,Pennsylvania,19143,East
MF-17665,Maureen Fritzler,Corporate,37,United States,Toledo,Ohio,43615,East
RM-19750,Roland Murray,Consumer,66,United States,New York City,New York,10011,East
VM-21835,Vivian Mathis,Consumer,60,United States,Newark,Delaware,19711,East
LS-17230,Lycoris Saunders,Consumer,42,United States,Dover,Delaware,19901,East
DH-13675,Duane Huffman,Home Office,65,United States,Quincy,Massachusetts,2169,East
VT-21700,Valerie Takahito,Home Office,44,United States,Philadelphia,Pennsylvania,19143,East
MG-17695,Maureen Gnade,Consumer,33,United States,Buffalo,New York,14215,East
AA-10645,Anna Andreadi,Consumer,32,United States,Chester,Pennsylvania,19013,East
AH-10465,Amy Hunt,Consumer,24,United States,New York City,New York,10035,East
CR-12820,Cyra Reiten,Home Office,38,United States,New York City,New York,10035,East
BS-11365,Bill Shonely,Corporate,34,United States,New York City,New York,10011,East
DB-13360,Dennis Bolton,Home Office,41,United States,New York City,New York,10009,East
LW-17125,Liz Willingham,Consumer,55,United States,Norwich,Connecticut,6360,East
AR-10345,Alex Russell,Corporate,38,United States,Lawrence,Massachusetts,1841,East
LR-17035,Lisa Ryan,Corporate,62,United States,Philadelphia,Pennsylvania,19134,East
FC-14245,Frank Carlisle,Home Office,20,United States,Lakewood,Ohio,44107,East
TH-21115,Thea Hudgings,Corporate,38,United States,Philadelphia,Pennsylvania,19140,East
SB-20185,Sarah Brown,Consumer,31,United States,Concord,New Hampshire,3301,East
BP-11050,Barry Pond,Corporate,65,United States,Cranston,Rhode Island,2920,East
MH-17440,Mark Haberlin,Corporate,47,United States,New York City,New York,10035,East
TC-21145,Theresa Coyne,Corporate,63,United States,Lakewood,New Jersey,8701,East
HD-14785,Harold Dahlen,Home Office,32,United States,Philadelphia,Pennsylvania,19143,East
CJ-11875,Carl Jackson,Corporate,64,United States,Philadelphia,Pennsylvania,19140,East
RE-19405,Ricardo Emerson,Consumer,35,United States,Kent,Ohio,44240,East
SM-20905,Susan MacKendrick,Consumer,46,United States,Newark,Ohio,43055,East
